"","r","t","K100","K105","K110","K115","K120","K125","K126","K127","K128","K129","K130","K131","K132","K133","K134","K135","K136","K137","K138","K139","K140","K141","K142","K143","K144","K145","K146","K147","K148","K149","K150","K155","K160","K165","K170","K175","K180","K185","K190","K195","K200","S"
"83",0.0425,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.93,NA,NA,NA,NA,NA,7.13,NA,NA,NA,NA,4.6,NA,1.43,0.72,NA,NA,NA,NA,NA,NA,NA,145.715
"84",0.0425,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,0.71,NA,NA,NA,NA,NA,NA,NA,145.79
"85",0.0425,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.692,NA,NA,NA,0.2,NA,NA,NA,NA,NA,145.68
"86",0.0425,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.22,NA,NA,5.55,NA,NA,2.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.75
"87",0.0425,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.6401
"88",0.0425,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,6.51,NA,NA,NA,4.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.56
"89",0.0425,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42,NA,NA,0.19,NA,NA,NA,NA,NA,145.511
"90",0.0425,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.595
"91",0.0425,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4516,NA,NA,NA,4.6,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,145.48
"92",0.0425,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.423,NA,NA,NA,4.45,2.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.475
"93",0.0425,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.365
"94",0.0425,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.95,NA,NA,NA,NA,NA,2.58,NA,0.69,NA,NA,NA,NA,NA,NA,NA,145.335
"95",0.0425,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.95,6.4,NA,NA,4.9,4.45,2.57,NA,NA,NA,NA,NA,NA,0.05,NA,NA,145.27
