"","c","t"
"491",144.67,1664903220000
"492",144.7401,1664903280000
"493",144.7299,1664903340000
"494",144.8005,1664903400000
"495",144.87,1664903460000
"496",144.72,1664903520000
"497",144.6528,1664903580000
"498",144.6101,1664903640000
"499",144.4886,1664903700000
"500",144.47,1664903760000
"501",144.455,1664903820000
"502",144.42,1664903880000
"503",144.3302,1664903940000
"504",144.44,1.664904e+12
"505",144.53,1664904060000
"506",144.57,1664904120000
"507",144.47,1664904180000
"508",144.5999,1664904240000
"509",144.715,1664904300000
"510",144.84,1664904360000
"511",144.8,1664904420000
"512",144.825,1664904480000
"513",144.8801,1664904540000
"514",144.85,1664904600000
"515",144.899,1664904660000
"516",144.86,1664904720000
"517",144.8601,1664904780000
"518",144.815,1664904840000
"519",144.7892,1664904900000
"520",144.72,1664904960000
"521",144.6562,1664905020000
"522",144.6861,1664905080000
"523",144.7003,1664905140000
"524",144.81,1664905200000
"525",144.885,1664905260000
"526",144.78,1664905320000
"527",144.78,1664905380000
"528",144.8,1664905440000
"529",144.91,1664905500000
"530",144.8515,1664905560000
"531",144.9869,1664905620000
"532",145.06,1664905680000
"533",145.08,1664905740000
"534",145.095,1664905800000
"535",145.1979,1664905860000
"536",145.4301,1664905920000
"537",145.455,1664905980000
"538",145.3751,1664906040000
"539",145.36,1664906100000
"540",145.485,1664906160000
"541",145.4,1664906220000
"542",145.4,1664906280000
"543",145.25,1664906340000
"544",145.33,1664906400000
"545",145.4154,1664906460000
"546",145.32,1664906520000
"547",145.1906,1664906580000
"548",145.2,1664906640000
"549",145.17,1664906700000
"550",145.1216,1664906760000
"551",145.305,1664906820000
"552",145.3355,1664906880000
"553",145.245,1664906940000
"554",145.2301,1.664907e+12
"555",145.24,1664907060000
"556",145.295,1664907120000
"557",145.19,1664907180000
"558",145.1221,1664907240000
"559",145.12,1664907300000
"560",145.16,1664907360000
"561",145.2379,1664907420000
"562",145.2499,1664907480000
"563",145.1,1664907540000
"564",145.1,1664907600000
"565",145.11,1664907660000
"566",145.28,1664907720000
"567",145.35,1664907780000
"568",145.3689,1664907840000
"569",145.3339,1664907900000
"570",145.35,1664907960000
"571",145.3301,1664908020000
"572",145.175,1664908080000
"573",145.1079,1664908140000
"574",145.215,1664908200000
"575",145.41,1664908260000
